dirname,filename,filename_abb,state_id,state_name,district_id,district_name
~/iec/pc01/district_handbooks/,DH_02_2001_B_KAN.pdf,B_KAN,2,himachal pradesh,2,kangra
~/iec/pc01/district_handbooks//eb_table_extracts,DH_02_2001_B_KAN_EB.pdf,B_KAN_EB,2,himachal pradesh,2,kangra
~/iec/pc01/district_handbooks/,DH_02_2001_B_MAN.pdf,B_MAN,2,himachal pradesh,5,mandi
~/iec/pc01/district_handbooks//eb_table_extracts,DH_02_2001_B_MAN_EB.pdf,B_MAN_EB,2,himachal pradesh,5,mandi
~/iec/pc01/district_handbooks/,DH_02_2001_B_SHI.pdf,B_SHI,2,himachal pradesh,11,shimla
~/iec/pc01/district_handbooks/,DH_02_2001_BIL.pdf,BIL,2,himachal pradesh,8,bilaspur
~/iec/pc01/district_handbooks/,DH_02_2001_CHA.pdf,CHA,2,himachal pradesh,1,chamba
~/iec/pc01/district_handbooks//eb_table_extracts,DH_02_2001_CHA_EB.pdf,CHA_EB,2,himachal pradesh,1,chamba
~/iec/pc01/district_handbooks/,DH_02_2001_HAM.pdf,HAM,2,himachal pradesh,6,hamirpur
~/iec/pc01/district_handbooks/,DH_02_2001_KIN.pdf,KIN,2,himachal pradesh,12,kinnaur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_02_2001_KIN_EB.pdf,KIN_EB,2,himachal pradesh,12,kinnaur
~/iec/pc01/district_handbooks/,DH_02_2001_KUL.pdf,KUL,2,himachal pradesh,4,kullu
~/iec/pc01/district_handbooks//eb_table_extracts,DH_02_2001_KUL_EB.pdf,KUL_EB,2,himachal pradesh,4,kullu
~/iec/pc01/district_handbooks/,DH_02_2001_LAH.pdf,LAH,2,himachal pradesh,3,lahul spiti
~/iec/pc01/district_handbooks/,DH_02_2001_SIR.pdf,SIR,2,himachal pradesh,10,sirmaur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_02_2001_SIR_EB.pdf,SIR_EB,2,himachal pradesh,10,sirmaur
~/iec/pc01/district_handbooks/,DH_02_2001_UNA.pdf,UNA,2,himachal pradesh,7,una
~/iec/pc01/district_handbooks//eb_table_extracts,DH_02_2001_UNA_EB.pdf,UNA_EB,2,himachal pradesh,7,una
~/iec/pc01/district_handbooks/,DH_03_2001_AMR.pdf,AMR,3,punjab,2,amritsar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_03_2001_AMR_EB.pdf,AMR_EB,3,punjab,2,amritsar
~/iec/pc01/district_handbooks/,DH_03_2001_BAT.pdf,BAT,3,punjab,14,bathinda
~/iec/pc01/district_handbooks//eb_table_extracts,DH_03_2001_BAT_EB.pdf,BAT_EB,3,punjab,14,bathinda
~/iec/pc01/district_handbooks/,DH_03_2001_FAR.pdf,FAR,3,punjab,13,faridkot
~/iec/pc01/district_handbooks//eb_table_extracts,DH_03_2001_FAR_EB.pdf,FAR_EB,3,punjab,13,faridkot
~/iec/pc01/district_handbooks/,DH_03_2001_FAT.pdf,FAT,3,punjab,8,fatehgarh sahib
~/iec/pc01/district_handbooks//eb_table_extracts,DH_03_2001_FAT_EB.pdf,FAT_EB,3,punjab,8,fatehgarh sahib
~/iec/pc01/district_handbooks/,DH_03_2001_FIR.pdf,FIR,3,punjab,11,firozpur
~/iec/pc01/district_handbooks/,DH_03_2001_HOS.pdf,HOS,3,punjab,5,hoshiarpur
